"timestamp","open","high","low","close","adjusted close","volume","dividend amount"
"2007-05-31","710.5000","727.9000","631.1000","647.1500","586.3824","18473157","0.0000"
"2007-04-30","720.0000","752.0000","685.0000","708.4500","641.9264","11003810","0.0000"
"2007-03-30","670.0000","734.4000","601.0000","728.2500","659.8672","14392557","0.0000"
"2007-02-28","745.0000","757.7500","606.0000","676.9000","613.3390","10446617","0.0000"
"2007-01-31","813.9000","834.9000","734.1500","743.0500","673.2773","10862660","0.0000"
"2006-12-29","753.0000","889.0000","723.4500","811.2000","735.0280","15490168","0.0000"
"2006-11-30","750.0000","807.0000","711.1500","750.7500","680.2544","14300255","0.0000"
"2006-10-31","727.0000","778.0000","701.1000","749.7500","679.3483","8920116","0.0000"
"2006-09-29","722.3500","774.0000","700.0000","731.4000","662.7214","10301000","0.0000"
"2006-08-31","696.0000","850.3000","685.5000","722.3500","654.5211","10715397","0.0000"
"2006-07-31","645.0000","727.4000","597.5000","698.9750","633.3411","10667138","0.0000"
"2006-06-30","692.5000","699.5000","570.0000","633.9750","570.1324","13319092","0.0000"
"2006-05-31","725.0000","877.0000","640.0000","678.5500","610.2186","16892536","0.0000"
"2006-04-28","710.0000","768.9500","638.4000","719.9000","647.4047","13572566","0.0000"
"2006-03-31","688.9750","758.5000","625.1000","710.7000","639.1312","15187690","0.0000"
"2006-02-28","560.5000","705.0000","541.2000","653.0500","587.2864","17443248","0.0000"
"2006-01-31","486.0000","572.5000","470.7750","560.6250","504.1689","8714504","0.0000"
"2005-12-30","459.0000","499.9500","450.0000","489.0750","439.8241","8884208","0.0000"
"2005-11-30","411.7500","483.7250","0.0000","456.9250","410.9117","9697084","0.0000"
"2005-10-31","426.5000","487.5000","390.5250","403.9500","363.2714","10475670","0.0000"
"2005-09-30","400.7000","431.2000","382.9750","425.8500","382.9660","6253094","0.0000"
"2005-08-31","412.0000","431.0000","377.8250","400.1000","359.8091","5018276","0.0000"
"2005-07-29","377.5000","422.3750","0.0000","418.6250","376.4686","6193618","0.0000"
"2005-06-30","360.5000","385.2000","350.7500","376.6750","334.4492","6343262","0.0000"
"2005-05-31","320.0000","367.5000","302.5000","362.4000","321.7744","10366266","0.0000"
"2005-04-29","372.4500","379.0000","316.7500","318.6250","282.9067","5817308","0.0000"
"2005-03-31","360.5000","389.0000","352.5250","369.5750","328.1451","10534452","0.0000"
"2005-02-28","359.0000","379.9000","345.0000","360.1500","319.7766","6244182","0.0000"
"2005-01-31","418.1500","436.7250","351.5000","368.2250","326.9465","7894772","0.0000"
"2004-12-31","399.5000","438.5000","387.5500","432.6750","384.1715","8302090","0.0000"
"2004-11-30","376.0000","408.0000","0.0000","397.6750","353.0950","5876304","0.0000"
"2004-10-29","367.5000","390.5000","0.0000","375.6250","333.5169","11166826","0.0000"
"2004-09-30","354.5000","389.8750","349.0000","368.6000","327.2794","10968600","0.0000"
"2004-08-31","379.1000","397.5000","325.0500","352.4250","312.9176","13305934","0.0000"
"2004-07-30","367.0000","394.9500","350.0000","380.0000","337.4015","4722998","0.0000"
"2004-06-30","402.5000","410.5000","350.0000","367.3750","321.9169","7991596","0.0000"
"2004-05-31","435.4500","469.9000","337.5000","398.5250","349.2124","9785908","0.0000"
"2004-04-30","489.0000","502.2250","0.0000","434.6250","380.8455","11270568","0.0000"
"2004-03-31","575.1000","575.1000","0.0000","487.1750","426.8931","12455426","0.0000"
"2004-02-27","0.0000","674.5000","0.0000","620.4250","543.6551","10838010","0.0000"
"2004-01-30","734.5000","735.5500","0.0000","699.1250","612.6170","7256140","0.0000"
"2003-12-31","598.4250","734.0000","0.0000","714.5500","626.1332","6285434","0.0000"
"2003-11-28","650.0000","732.3500","0.0000","635.3500","556.7334","15457340","0.0000"
"2003-10-31","529.0000","650.0000","0.0000","597.6750","523.7202","11414954","0.0000"
"2003-09-30","587.2250","612.7000","474.9500","528.9500","463.4991","11488872","0.0000"
"2003-08-29","552.5000","582.7500","0.0000","575.9250","504.6613","11361772","0.0000"
"2003-07-31","549.8500","624.5000","520.1000","574.2000","498.2955","8724008","0.0000"
"2003-06-30","435.0000","554.9500","425.0000","546.7500","474.4742","6471238","0.0000"
"2003-05-30","0.0000","462.5000","0.0000","445.6250","386.7171","5949822","0.0000"
"2003-04-30","452.5000","472.0000","0.0000","436.3500","378.6682","4343952","0.0000"
"2003-03-31","441.5000","495.0000","0.0000","458.1500","397.5863","2985034","0.0000"
"2003-02-28","450.9500","475.0000","0.0000","438.1750","380.2519","3910276","0.0000"
"2003-01-31","452.5000","501.4500","427.5000","451.8500","392.1192","10452584","0.0000"
"2002-12-31","381.1000","466.0000","0.0000","449.2500","389.8629","11557560","0.0000"
"2002-11-29","348.5000","386.9500","0.0000","380.5750","330.2661","8764078","0.0000"
"2002-10-31","414.5000","417.4500","0.0000","348.4750","302.4095","9877628","0.0000"
"2002-09-30","450.0000","452.5000","0.0000","417.1250","361.9846","5023896","0.0000"
"2002-08-30","427.5000","455.0000","0.0000","446.8750","387.8018","3062642","0.0000"
"2002-07-31","475.0000","508.4500","406.5000","424.0000","365.9059","7400790","0.0000"
"2002-06-28","482.5000","505.0000","461.5000","472.7500","407.9766","2743982","0.0000"
"2002-05-31","0.0000","549.5000","0.0000","475.2250","410.1125","4565512","0.0000"
"2002-04-30","550.0000","574.5000","497.0000","499.6500","431.1909","4947130","0.0000"
"2002-03-29","519.5000","556.0000","0.0000","0.0000","0.0000","4005344","0.0000"
"2002-02-28","466.5000","560.0000","433.5000","526.4750","454.3405","8524748","0.0000"
"2002-01-31","462.6500","522.4750","460.0000","462.7250","399.3251","11057444","0.0000"
"2001-12-31","474.0000","500.0000","0.0000","461.8750","398.5916","17526108","0.0000"
"2001-11-30","550.0000","572.9500","0.0000","0.0000","0.0000","27944400","0.0000"
"2001-10-31","445.0000","939.5000","0.0000","520.8500","445.0368","17993550","0.0000"
"2001-09-28","449.7500","503.7250","419.0000","447.4380","382.3104","29836240","0.0000"
"2001-08-31","425.0000","480.0000","0.0000","442.8370","378.3792","19094000","0.0000"
"2001-07-31","407.5000","432.2500","380.0000","422.3880","360.9067","9812740","0.0000"
"2001-06-29","355.0000","435.2500","351.0130","401.9380","343.4333","11905844","0.0000"
"2001-05-31","0.0000","376.9500","0.0000","350.7120","296.3568","7084100","0.0000"
"2001-04-30","301.3370","306.2500","0.0000","280.2000","236.7731","7019728","0.0000"
"2001-03-30","336.7500","349.7500","0.0000","311.3120","263.0632","5358988","0.0000"
