"timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"2018-02-23","550.0000","575.2500","546.0000","569.6500","567.9374","30844893","0.0000","1.0000"
"2018-02-22","527.5000","547.0000","524.0000","541.4500","539.8222","12473655","0.0000","1.0000"
"2018-02-21","560.0500","563.0000","511.3000","525.7500","524.1694","21898950","0.0000","1.0000"
"2018-02-20","564.6500","566.6500","557.0000","559.5000","557.8179","2481944","0.0000","1.0000"
"2018-02-19","575.0000","577.2500","553.5500","561.4000","559.7122","3518880","0.0000","1.0000"
"2018-02-16","575.4000","577.5500","563.3500","575.2500","573.5206","6640151","0.0000","1.0000"
"2018-02-15","565.4000","584.9500","565.4000","575.7500","574.0190","10715444","0.0000","1.0000"
"2018-02-14","590.9500","591.8000","571.2000","574.8000","573.0719","6630066","0.0000","1.0000"
"2018-02-12","586.0000","608.9500","585.0000","589.1500","587.3788","10261511","0.0000","1.0000"
"2018-02-09","570.1000","586.0000","570.1000","582.7000","580.9482","3796079","0.0000","1.0000"
"2018-02-08","540.0500","587.0000","533.8000","584.1000","582.3439","13707589","0.0000","1.0000"
"2018-02-07","556.0000","557.4500","542.6000","549.5000","547.8480","5110233","0.0000","1.0000"
"2018-02-06","537.0000","554.5000","531.2000","551.8000","550.1411","6325143","0.0000","1.0000"
"2018-02-05","538.8000","560.4500","533.5500","557.4500","555.7741","4734366","0.0000","1.0000"
"2018-02-02","552.0000","567.3500","544.6500","551.2000","549.5429","10873325","0.0000","1.0000"
"2018-02-01","580.0000","580.0000","549.5500","554.3000","552.6335","8789899","0.0000","1.0000"
"2018-01-31","590.0000","594.9000","575.0500","579.9000","578.1566","4781423","0.0000","1.0000"
"2018-01-30","585.7000","594.7500","580.0500","591.9500","590.1703","3542190","0.0000","1.0000"
"2018-01-29","581.0500","594.2000","578.3500","587.9500","586.1824","6006564","0.0000","1.0000"
"2018-01-25","591.0000","596.0000","578.0000","579.8500","578.1067","4213982","0.0000","1.0000"
"2018-01-24","577.0000","596.5000","575.1000","586.5500","584.7866","7168397","0.0000","1.0000"
"2018-01-23","579.0000","585.8500","575.5000","579.3500","577.6082","4790590","0.0000","1.0000"
"2018-01-22","573.0000","578.9000","568.8500","576.1500","574.4179","3072409","0.0000","1.0000"
"2018-01-19","580.0000","580.6500","567.6000","572.1000","570.3800","4693971","0.0000","1.0000"
"2018-01-18","586.0000","589.4500","574.3000","576.7000","574.9662","3679687","0.0000","1.0000"
"2018-01-17","583.0000","585.9000","576.7000","583.7500","581.9950","4812606","0.0000","1.0000"
"2018-01-16","577.3500","583.9500","572.1500","577.7000","575.9632","4868363","0.0000","1.0000"
"2018-01-15","586.8000","586.8000","574.5000","576.4500","574.7170","4456611","0.0000","1.0000"
"2018-01-12","590.0000","591.4500","579.6000","583.4500","581.6959","2842683","0.0000","1.0000"
"2018-01-11","585.7500","598.5000","580.5000","587.9500","586.1824","5930449","0.0000","1.0000"
"2018-01-10","590.8000","594.0000","581.4000","585.1000","583.3409","2929462","0.0000","1.0000"
"2018-01-09","597.0000","598.0000","584.3500","586.5000","584.7368","4025566","0.0000","1.0000"
"2018-01-08","588.0000","604.6000","586.1500","591.6000","589.8214","10475190","0.0000","1.0000"
