"timestamp","open","high","low","close","volume"
"2013-12-20","1180.0000","1199.9500","1138.0000","1177.3000","226625"
"2013-12-13","1256.0000","1268.0000","1100.0000","1172.3500","623717"
"2013-12-06","1723.0000","1777.7000","1232.2500","1248.0000","929297"
"2013-11-29","1570.0000","1727.9000","1462.0000","1704.0000","1546276"
"2013-11-22","1241.0000","1521.9500","1241.0000","1436.5500","557468"
"2013-11-14","1159.0000","1264.0000","1152.6000","1235.2500","126413"
"2013-11-08","1075.0500","1185.0000","1055.0000","1162.0500","44162"
"2013-11-01","1031.0000","1098.0000","1031.0000","1076.0000","22414"
"2013-10-25","1059.9500","1068.0000","1042.0000","1050.0500","19251"
"2013-10-18","1060.0000","1075.0000","1042.0000","1054.3000","37146"
"2013-10-11","1043.2000","1072.2000","1043.2000","1056.6000","34409"
"2013-10-04","1047.0000","1137.0000","1042.0500","1048.1500","27120"
"2013-09-27","1070.0000","1070.0000","1039.0000","1054.5500","13069"
"2013-09-20","1057.0000","1072.2000","1035.0000","1050.1500","17094"
"2013-09-13","1030.0000","1115.0000","1026.5500","1067.9000","24663"
"2013-09-06","1049.9500","1062.0000","1003.8000","1026.0500","15634"
"2013-08-30","1100.0000","1120.0000","1020.0000","1041.0500","14776"
"2013-08-23","1066.9000","1100.6500","1041.2500","1096.3500","12457"
"2013-08-16","1074.9500","1081.0500","1025.2500","1047.2500","9676"
"2013-08-08","1064.0000","1075.0000","1011.6000","1062.7000","17201"
"2013-08-02","995.2000","1078.0000","982.0000","1050.3500","47517"
"2013-07-26","1077.0000","1078.7000","1026.0000","1030.5000","9365"
"2013-07-19","1078.0000","1098.9500","1055.1000","1075.7000","13771"
"2013-07-12","1071.1000","1079.0000","1042.6000","1074.9000","54972"
"2013-07-05","1090.0000","1090.0000","1053.0000","1071.1000","51082"
"2013-06-28","1061.0000","1090.0000","1060.0000","1084.1500","30982"
"2013-06-21","1080.0000","1094.0000","1059.1000","1071.7500","15914"
"2013-06-14","1060.0000","1099.0000","1037.0500","1086.3000","48346"
"2013-06-07","1055.0000","1118.7500","1031.0500","1071.7500","124442"
"2013-05-31","1050.0000","1080.0000","1025.0000","1049.0000","53649"
"2013-05-24","1075.0000","1099.9000","1030.0000","1043.3000","16513"
"2013-05-17","1099.0000","1125.0000","1060.0000","1063.1500","61013"
"2013-05-10","1043.0000","1100.0000","1029.0500","1058.5000","21417"
"2013-05-03","1035.0000","1075.0000","1015.0000","1039.2000","18089"
"2013-04-26","1006.9500","1038.0000","995.0000","1016.7500","14644"
"2013-04-18","1005.0000","1008.9500","995.0000","1000.5000","8643"
"2013-04-12","1053.2500","1053.2500","997.7000","1002.2000","15679"
"2013-04-05","1066.0000","1088.0000","1031.0000","1037.3000","12674"
"2013-03-28","1025.0000","1130.0000","1000.1000","1060.0500","29041"
"2013-03-22","1038.9500","1047.0000","1000.1500","1023.2500","23989"
"2013-03-15","1054.2500","1067.0000","1027.0500","1038.9500","16956"
"2013-03-08","1050.0000","1087.9000","1025.0000","1056.2000","21164"
"2013-03-01","1085.1000","1095.0000","1039.5500","1057.0500","15065"
"2013-02-22","1091.0000","1095.0000","1080.2500","1089.2500","18717"
"2013-02-15","1135.1500","1135.1500","1090.0000","1094.1500","11543"
"2013-02-08","1160.0500","1169.9500","1135.0000","1137.6000","11634"
"2013-02-01","1148.0000","1299.0000","1130.0000","1155.2000","26782"
"2013-01-25","1171.1000","1180.0000","1142.0000","1150.8500","15447"
"2013-01-18","1169.0000","1186.9500","1152.0000","1177.8500","17779"
"2013-01-11","1175.0500","1204.7000","1162.0500","1170.5500","122263"
"2013-01-04","1180.0500","1220.0000","1160.0000","1167.7500","32347"
"2012-12-28","1159.3000","1198.0000","1151.0000","1187.7000","14838"
"2012-12-21","1170.0000","1181.7000","1150.0000","1156.4500","53288"
"2012-12-14","1130.1000","1180.0000","1125.0000","1166.6000","73889"
"2012-12-07","1176.0000","1185.0000","1127.0000","1135.0000","18676"
"2012-11-30","1119.2000","1180.0000","1119.2000","1163.6000","27139"
"2012-11-23","1110.0000","1129.0000","1104.2000","1111.2000","80799"
"2012-11-16","1142.0000","1142.0000","1031.0000","1119.8500","63417"
"2012-11-12","1154.1000","1169.0000","0.0000","1124.8500","38373"
"2012-11-02","1179.0000","1187.0000","1130.9000","1153.7000","17765"
"2012-10-25","1200.0000","1200.0000","1161.1500","1166.8000","13378"
"2012-10-19","1193.0000","1225.0000","1186.0000","1200.5500","10875"
"2012-10-12","1214.0000","1223.0000","1191.5000","1196.8500","19114"
"2012-10-05","1250.5000","1257.0000","1209.9500","1214.0000","32788"
"2012-09-28","1230.0000","1267.1000","1227.0000","1251.9500","31921"
"2012-09-21","1272.0500","1284.9500","1210.2500","1227.1000","47077"
"2012-09-14","1260.0500","1399.4500","0.0000","1272.0500","59476"
"2012-08-31","1228.0000","1298.3500","1226.0500","1277.7500","18928"
"2012-08-24","1250.0500","1265.0500","1215.9500","1237.0500","7096"
"2012-08-17","1258.0000","1313.9000","1233.0000","1247.1000","93014"
"2012-08-10","1224.9500","1255.0000","1200.1000","1243.9500","15677"
"2012-08-03","1218.6000","1234.0000","1185.2000","1202.4500","9331"
"2012-07-27","1220.0000","1226.0000","1175.0000","1212.1000","45496"
"2012-07-20","1199.0000","1239.4500","1147.3000","1215.6500","18560"
"2012-07-13","1180.0000","1199.0000","1176.0000","1189.8000","10174"
"2012-07-06","1185.0000","1222.9000","1180.2500","1190.8500","42122"
"2012-06-29","1159.0000","1240.0000","1152.0000","1195.8500","58053"
"2012-06-22","1130.9500","1172.0000","1111.1000","1156.4500","12960"
"2012-06-15","1132.8000","1144.7000","1111.0000","1125.9000","27047"
"2012-06-08","1105.0000","1136.9500","1098.0000","1123.6500","13168"
"2012-06-01","1173.8500","1197.3000","1061.1500","1109.2500","166643"
"2012-05-25","1208.0000","1232.0000","1152.4000","1164.6500","43181"
"2012-05-18","1246.2500","1257.6500","1186.8500","1197.7000","227413"
"2012-05-11","1250.0000","1298.0000","1220.0000","1257.7500","9779"
"2012-05-04","1328.7500","1328.7500","1236.3000","1245.4500","11152"
"2012-04-27","1348.9000","1406.9500","1300.1000","1321.3000","51759"
"2012-04-20","1258.9000","1379.9000","1252.0000","1345.9500","66010"
"2012-04-13","1216.0000","1269.4000","1195.0000","1250.6500","140819"
"2012-04-04","1215.0000","1249.3000","1195.0000","1214.0000","25468"
"2012-03-30","1210.0000","1239.0000","1182.5500","1203.9000","20157"
"2012-03-23","1242.0000","1242.0000","1205.0000","1208.5500","7455"
"2012-03-16","1227.7000","1248.9500","1205.1500","1226.0000","11523"
"2012-03-09","1235.0000","1261.9500","0.0000","1223.3500","41332"
"2012-02-24","1250.0000","1250.0000","1195.0000","1219.3500","12823"
"2012-02-17","1189.9000","1268.9000","1178.0000","1247.0000","31143"
"2012-02-10","1184.0000","1273.0000","1157.0000","1163.7000","61881"
"2012-02-03","1252.9000","1278.8000","1142.3000","1185.6000","15926"
"2012-01-27","1199.0000","1245.0000","1135.3000","1231.8000","19161"
"2012-01-20","1095.0000","1234.0000","1090.2500","1181.0500","28541"
"2012-01-13","1081.2500","1132.0000","0.0000","1097.4000","49408"
"2011-12-30","1109.0000","1129.4000","1076.2000","1101.0000","17583"
